,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Gediz,44,TR,1554511456,87,38.99,29.39,37.56,2.15
376,Mitsamiouli,20,KM,1554511457,100,-11.38,43.28,81.21,6.17
377,Tupelo,75,US,1554510707,68,34.26,-88.7,66.2,4.7
378,Jumla,76,NP,1554511460,96,29.28,82.18,32.7,1.7
379,Nelson Bay,24,AU,1554511256,78,-32.72,152.14,75.99,9.17
380,Wainwright,76,CA,1554511430,53,52.84,-110.86,46.2,14.34
381,Sangmelima,64,CM,1554511463,97,2.93,11.98,71.22,2.26
382,Swan River,0,CA,1554511327,67,52.11,-101.27,35.67,3.15
383,Colquechaca,0,BO,1554511466,46,-18.7,-66.0,46.92,1.7
384,Iskateley,32,RU,1554511467,83,67.68,53.15,21.36,18.7
385,Chengzihe,24,CN,1554511468,63,45.35,131.0,39.09,8.52
386,Point Fortin,20,TT,1554511220,78,10.16,-61.68,78.8,3.36
387,Half Moon Bay,90,US,1554511620,72,37.46,-122.43,64.4,3.36
388,San Andres,12,PH,1554511472,99,13.32,122.68,81.48,6.73
389,Awka,12,NG,1554511473,84,6.21,7.07,78.24,8.19
390,Sitka,36,US,1554510720,48,37.17,-99.65,71.01,15.99
391,Briancon,68,FR,1554511276,71,44.9,6.65,48.99,4.0
392,Khvastovichi,32,RU,1554511477,82,53.47,35.09,28.29,2.93
393,Sumbe,0,AO,1554511478,100,-11.2,13.84,80.4,4.94
394,Ayna,20,ES,1554510611,80,38.55,-2.07,41.0,8.05
395,Usinsk,20,RU,1554511480,88,66.0,57.56,20.01,8.97
396,Aleksandrov Gay,68,RU,1554511482,97,50.14,48.57,38.01,8.19
397,Koson,0,UZ,1554508800,93,39.04,65.59,55.4,2.24
398,Tirlyanskiy,56,RU,1554511484,78,54.22,58.58,21.36,2.71
399,Siparia,20,TT,1554511220,78,10.14,-61.51,78.8,3.36
400,Mana,0,RS,1554510600,75,43.52,20.24,55.4,3.36
401,Ulladulla,75,AU,1554510645,64,-35.36,150.48,73.0,5.82
402,Freeport,75,BS,1554508800,78,26.54,-78.7,77.0,6.93
403,Port Hedland,0,AU,1554508800,47,-20.31,118.58,80.6,8.05
404,Pavilosta,0,LV,1554508200,55,56.89,21.19,39.2,6.93
405,Pangnirtung,80,CA,1554511493,76,66.15,-65.72,17.4,4.61
406,Sajkas,92,RS,1554510909,71,45.27,20.09,52.0,6.93
407,Antalaha,68,MG,1554511496,100,-14.9,50.28,77.16,7.4
408,Jelling,92,DK,1554511280,75,55.76,9.42,48.2,9.17
409,Holetown,75,BB,1554508800,83,13.19,-59.64,75.2,25.28
410,Siniscola,0,IT,1554510000,93,40.57,9.69,39.2,1.12
411,Eucaliptus,12,BO,1554511501,26,-17.6,-67.51,46.83,8.86
412,Kununurra,90,AU,1554508800,78,-15.77,128.74,82.4,5.82
413,Placido de Castro,24,BR,1554511505,81,-10.34,-67.19,80.67,3.71
414,Badarwas,32,IN,1554511506,69,24.97,77.57,68.88,0.81
415,Itagi,68,BR,1554511508,86,-14.16,-40.01,73.29,4.05
416,Hazorasp,0,UZ,1554508800,75,41.32,61.08,44.6,9.17
417,Bela Vista de Goias,20,BR,1554508800,78,-16.97,-48.95,77.0,4.7
418,Leningradskiy,32,RU,1554511511,89,69.38,178.42,7.95,27.54
419,Maryborough,36,AU,1554511378,66,-25.54,152.7,75.45,3.71
420,Touros,20,BR,1554508800,94,-5.2,-35.46,78.8,4.7
421,Anadyr,0,RU,1554509551,78,64.73,177.51,12.2,13.42
422,Wloclawek,0,PL,1554511150,64,52.65,19.07,48.99,7.0
423,Texistepeque,0,SV,1554511212,61,14.12,-89.5,80.6,9.17
424,Pochutla,75,MX,1554510667,74,15.74,-96.47,84.99,6.93
425,Almaty,90,KZ,1554508800,87,43.24,76.95,50.0,4.47
426,Puerto Quijarro,75,BO,1554508800,93,-19.0,-57.72,66.2,16.11
427,Kalmunai,0,LK,1554511522,100,7.42,81.82,72.66,2.93
428,Samfya,48,ZM,1554511523,93,-11.37,29.56,67.53,7.96
429,Carauari,68,BR,1554511525,76,-4.88,-66.9,84.0,4.05
430,Etchojoa,5,MX,1554511497,21,26.91,-109.62,82.0,8.05
431,Caravelas,0,BR,1554511527,97,-17.73,-39.27,82.65,15.46
432,Kuchera,0,IN,1554511528,82,26.99,73.97,63.48,2.82
433,Nampula,0,MZ,1554508800,94,-15.12,39.26,71.6,4.7
434,Sola,0,NO,1554511503,53,58.89,5.65,51.8,6.93
435,Hamilton,90,BM,1554510697,60,32.3,-64.78,68.0,17.22
436,Northam,75,GB,1554511525,93,51.04,-4.21,48.0,10.29
437,Namibe,0,AO,1554511535,100,-15.19,12.15,77.7,4.72
438,Guigue,0,VE,1554511536,83,10.09,-67.78,70.23,3.15
439,Shestakovo,36,RU,1554511537,73,56.49,103.96,16.23,2.59
440,Cockburn Town,76,TC,1554511538,99,21.46,-71.14,78.24,18.7
441,Borinskoye,8,RU,1554511540,81,52.46,39.37,26.04,2.82
442,Nosy Varika,88,MG,1554511459,100,-20.58,48.53,75.27,3.27
443,Torbay,75,CA,1554510865,63,47.66,-52.73,30.0,21.92
444,Pacora,75,PA,1554511363,62,9.1,-79.29,84.2,11.41
445,Zambezi,20,ZM,1554511544,68,-13.55,23.12,70.23,9.19
446,Saldanha,92,PT,1554511545,96,41.42,-6.55,39.72,9.75
447,Pitimbu,0,BR,1554508800,88,-7.47,-34.81,78.8,4.7
448,Lewiston,90,US,1554511390,44,44.1,-70.21,39.0,9.17
449,Airai,100,TL,1554511549,88,-8.93,125.41,72.21,2.37
450,Sobolevo,0,RU,1554511455,72,54.43,31.9,26.58,2.82
451,Faanui,68,PF,1554511551,100,-16.48,-151.75,84.54,14.67
452,Rio Gallegos,75,AR,1554508800,76,-51.62,-69.22,51.8,39.15
453,Hobyo,92,SO,1554511554,87,5.35,48.53,79.68,9.19
454,Luebo,0,CD,1554511555,92,-5.35,21.42,74.91,2.15
455,Mogadishu,32,SO,1554511557,100,2.04,45.34,81.93,14.56
456,Mesto Albrechtice,0,CZ,1554511407,71,50.16,17.57,50.0,1.12
457,Helsinki,0,FI,1554511508,86,60.17,24.94,37.0,5.82
458,Mayumba,20,GA,1554511560,100,-3.44,10.65,78.06,10.42
459,Zhangye,0,CN,1554511562,63,38.94,100.46,40.98,6.85
460,Smirnykh,68,RU,1554511563,80,49.74,142.83,32.88,10.09
461,Leshukonskoye,0,RU,1554511565,81,64.9,45.76,19.56,2.26
462,Asenovgrad,75,BG,1554508800,93,42.01,24.88,42.8,8.05
463,Palestine,90,US,1554511547,93,31.76,-95.63,71.01,4.5
464,Haines Junction,88,CA,1554511498,72,60.75,-137.51,25.23,2.59
465,Rongcheng,100,CN,1554511571,47,37.16,122.42,50.88,15.23
466,Casa Nova,8,BR,1554511572,81,-11.77,-39.23,76.53,7.18
467,Millau,90,FR,1554508800,76,44.1,3.08,48.2,18.34
468,Upata,0,VE,1554511575,49,8.02,-62.41,77.79,8.41
469,Port Hawkesbury,1,CA,1554511566,72,45.62,-61.36,33.01,5.82
470,Urusha,68,RU,1554511577,51,54.05,122.9,32.79,7.74
471,Chernenko,0,UA,1554511578,59,47.23,37.74,26.85,2.48
472,Ponta Delgada,75,PT,1554511324,87,37.73,-25.67,57.2,9.17
473,Huangchuan,75,CN,1554511260,93,24.57,102.46,64.99,8.95
474,Jacareacanga,20,BR,1554511582,88,-6.22,-57.76,78.51,2.37
475,Neon Petritsion,12,GR,1554511515,67,41.28,23.3,52.0,5.99
476,Basco,1,US,1554511553,81,40.33,-91.2,54.0,6.93
477,Angoche,20,MZ,1554511586,100,-16.23,39.91,80.76,4.16
478,Ploemeur,48,FR,1554511521,100,47.73,-3.43,43.0,4.7
479,Tazovskiy,80,RU,1554511588,93,67.47,78.7,24.33,20.27
480,Sunrise Manor,75,US,1554511248,25,36.21,-115.07,75.2,19.46
481,Tateyama,20,JP,1554511216,46,36.66,137.31,62.01,2.24
482,Dalbandin,0,PK,1554511592,50,28.9,64.41,61.23,6.96
483,Davila,20,PH,1554508800,74,18.47,120.58,82.4,3.36
484,Pisco,0,PE,1554508800,78,-13.71,-76.2,73.4,10.29
485,Whyalla,75,AU,1554508800,60,-33.04,137.58,68.0,14.99
486,Goderich,0,CA,1554511577,90,43.74,-81.71,39.0,1.01
487,Williston,90,US,1554510900,100,48.15,-103.62,51.8,18.34
488,Samarai,80,PG,1554511599,100,-10.62,150.67,78.69,2.71
489,Krasnyy Chikoy,56,RU,1554511444,43,50.36,108.75,17.67,2.26
490,Itatiaia,76,BR,1554511437,97,-22.5,-44.56,69.51,0.58
491,Bom Jesus,92,BR,1554511603,97,-9.08,-44.36,70.68,4.38
492,Altamira,88,BR,1554511605,87,-3.2,-52.21,78.6,3.6
493,Lokomotivnyy,80,RU,1554511606,91,53.01,60.57,32.07,2.71
494,Along,0,IN,1554511607,84,28.17,94.8,54.57,1.92
495,Augusta,90,US,1554511556,43,44.31,-69.78,37.99,8.05
496,Immokalee,75,US,1554511605,88,26.42,-81.42,78.8,5.73
497,Chulman,64,RU,1554511611,73,56.84,124.9,26.13,6.4
498,Kuching,75,MY,1554508800,88,1.56,110.34,78.8,2.24
499,Wicklow,75,IE,1554511571,87,53.0,-6.42,44.6,13.87
500,Itarema,92,BR,1554511615,100,-2.92,-39.92,74.01,3.71
501,Ilembo,20,TZ,1554511616,93,-9.25,33.38,57.27,3.38
502,Broken Hill,0,AU,1554508800,56,-31.97,141.45,68.0,14.99
503,Mutoko,12,ZW,1554511618,80,-17.4,32.23,62.13,2.82
504,Port Augusta,75,AU,1554511252,60,-32.49,137.76,68.0,14.99
505,Juneau,90,US,1554508560,75,58.3,-134.42,42.8,4.7
506,Camacha,40,PT,1554510600,71,33.08,-16.33,57.2,17.22
507,Baykit,64,RU,1554511623,70,61.68,96.39,10.2,3.27
508,Faya,0,SA,1554508800,72,18.39,42.45,64.4,12.75
509,Georgiyevka,24,RU,1554511626,80,52.25,40.45,28.02,2.93
510,Bilma,0,NE,1554511629,24,18.69,12.92,70.5,3.04
511,East Valencia,68,PH,1554511630,88,10.67,122.71,78.06,4.94
512,Ugoofaaru,76,MV,1554511518,100,5.67,73.0,84.9,2.93
513,Port Blair,0,IN,1554511440,100,11.67,92.75,83.28,4.72
514,Haguenau,24,FR,1554511630,93,48.82,7.79,46.0,1.12
515,Nhulunbuy,90,AU,1554510300,100,-12.18,136.78,75.2,5.82
516,Yenagoa,0,NG,1554511636,93,4.92,6.26,77.07,5.39
517,Glenwood Springs,40,US,1554511426,50,39.55,-107.33,62.6,6.93
518,Bonoua,0,CI,1554508800,83,5.27,-3.6,82.4,5.82
519,Meghraj,0,IN,1554511640,55,23.5,73.5,69.06,3.04
520,Roncesvalles,40,CO,1554508800,88,4.01,-75.61,75.2,1.7
521,Voi,76,KE,1554511642,95,-3.4,38.57,68.97,3.04
522,Xining,0,CN,1554511504,60,36.62,101.77,23.7,2.82
523,Zheleznodorozhnyy,0,RU,1554511208,80,55.75,38.0,39.99,2.24
524,Gisborne,80,NZ,1554511211,97,-38.66,178.02,54.0,8.01
525,Santo Augusto,92,BR,1554511647,83,-27.85,-53.78,65.28,9.98
526,Valday,0,RU,1554511649,79,57.98,33.25,27.75,3.94
527,Lishui,56,CN,1554511650,88,28.45,119.91,58.8,2.37
528,Axim,0,GH,1554511651,97,4.87,-2.24,84.0,13.44
529,Capoterra,0,IT,1554510000,81,39.18,8.97,53.6,4.7
530,Shimoda,20,JP,1554510994,51,34.7,138.93,66.2,17.22
531,Keokuk,1,US,1554511606,81,40.4,-91.39,55.0,6.93
532,Rumuruti,0,KE,1554511656,90,0.26,36.54,47.37,2.71
533,Formosa,90,AR,1554508800,77,-26.19,-58.17,66.2,8.05
534,Campos Belos,32,BR,1554511658,92,-13.04,-46.77,71.58,3.94
535,Calvinia,0,ZA,1554511660,56,-31.47,19.78,47.55,6.51
536,Kaeo,8,NZ,1554511085,69,-35.1,173.78,66.99,5.99
537,Pachino,80,IT,1554511506,99,36.72,15.09,48.0,14.0
538,Russell,0,AR,1554508800,34,-33.01,-68.8,66.2,3.36
539,Kamaishi,75,JP,1554508800,86,39.28,141.86,39.2,8.05
540,Naklo nad Notecia,0,PL,1554511568,65,53.14,17.6,52.0,10.29
541,Charleston,75,US,1554511506,63,38.35,-81.63,62.01,3.36
542,Itoman,20,JP,1554509550,69,26.12,127.67,75.2,4.7
543,Bud,12,NO,1554511621,98,62.91,6.91,39.2,8.05
544,Novovarshavka,44,RU,1554511672,91,54.17,74.7,29.55,8.75
545,Bani Walid,0,LY,1554511673,78,31.76,14.0,58.17,8.41
546,Saint-Louis,20,CH,1554511673,83,47.59,7.56,37.0,2.24
547,Pauini,32,BR,1554511675,89,-7.71,-67.0,79.95,2.82
548,Darhan,88,MN,1554511677,53,49.49,105.92,23.97,4.27
549,Ixtapa,75,MX,1554511514,74,20.71,-105.21,78.8,10.29
550,San Policarpo,64,PH,1554511679,93,12.18,125.51,80.85,8.97
